state,city,reps,line,entry,yield (kg/ha),volume weight (kg/h),plant height (cm),days to heading from 1/1,lodging (%),leaf sev. (%),rust resp (0-9),septoria nodorum (0-9)
Kansas,Hutchinson,3 replications,CI1442,1,372,.,121,136,90,80,8,8
Kansas,Hutchinson,3 replications,CI13996,2,1978,76.3,109,131,80,40,8,8
Kansas,Hutchinson,3 replications ,PI495594,3,1978,74,96,120,0,100,8,9
Kansas,Hutchinson,3 replications,OK87W663,4,2525,74.6,94,121,0,50,8,8
Kansas,Hutchinson,3 replications,OK87542,5,2698,77.6,96,122,40,20,8,8
Kansas,Hutchinson,3 replications,OK87630,6,3547,77.6,99,122,0,20,8,5
Kansas,Hutchinson,3 replications,OK88767,7,2890,76.7,95,124,0,40,8,4
Kansas,Hutchinson,3 replications,OK88W833,8,2471,76,95,122,20,40,8,5
Kansas,Hutchinson,3 replications,TX88V4636,9,1709,70.6,94,126,57,30,8,8
Kansas,Hutchinson,3 replications,TX84V1418HF,10,3339,76.5,98,125,13,10,8,5
Kansas,Hutchinson,3 replications,TX88V5440,11,3569,77.5,85,120,37,10,8,2
Kansas,Hutchinson,3 replications,TX88V4635,12,406,67.2,89,132,70,20,8,7
Kansas,Hutchinson,3 replications,TX87V1613,13,2931,76.8,98,123,0,10,7,5
Kansas,Hutchinson,3 replications,TX88V4524,14,2969,77.3,91,124,7,5,8,4
Kansas,Hutchinson,3 replications,TX89V4138,15,2871,78.7,94,124,83,10,8,7
Kansas,Hutchinson,3 replications,TX88V5433,16,3557,78.8,89,123,7,5,8,3
Kansas,Hutchinson,3 replications,TX86D1310,17,3344,78.6,95,127,10,5,3,2
Kansas,Hutchinson,3 replications,TX86D1332,18,3451,80,94,125,7,5,3,3
Kansas,Hutchinson,3 replications,TX88D3424,19,1519,72,73,124,73,20,3,7
Kansas,Hutchinson,3 replications,C0850034,20,1388,75.1,95,125,87,60,8,6
Kansas,Hutchinson,3 replications,C0850061,21,2115,73.6,94,122,67,60,8,6
Kansas,Hutchinson,3 replications,C0860086,22,406,67.2,89,132,70,20,8,7
Kansas,Hutchinson,3 replications,C0860094,23,868,69.1,92,136,23,5,8,6
Kansas,Hutchinson,3 replications,KSSB-369-7,24,3945,79.5,84,117,3,5,7,5
Kansas,Hutchinson,3 replications,KSSB-192-3,25,2824,74.4,88,121,0,30,8,6
Kansas,Hutchinson,3 replications,HBC197F,26,3214,71.8,88,128,50,0,2,3
Kansas,Hutchinson,3 replications,KS87H6,27,3102,76.8,96,128,27,5,8,4
Kansas,Hutchinson,3 replications,KS88H12-1,28,1963,74,94,131,90,20,8,7
Kansas,Hutchinson,3 replications,KS88H12-2,29,1938,72.6,92,131,73,10,8,7
Kansas,Hutchinson,3 replications,NE87615,30,1730,72.5,89,132,73,10,3,4
Kansas,Hutchinson,3 replications,NE87409,31,1520,75.4,100,132,70,60,8,9
Kansas,Hutchinson,3 replications,NE87451,32,2683,74.2,87,133,33,10,7,3
Kansas,Hutchinson,3 replications ,NE88595,33,1265,71.8,94,132,7,80,8,8
Kansas,Hutchinson,3 replications,NE88427,34,1719,74.4,96,131,7,80,8,7
Kansas,Hutchinson,3 replications,XH900,35,2980,73.8,98,125,7,20,7,7
Kansas,Hutchinson,3 replications ,XH1231,36,2886,73.3,101,126,3,20,3,5
Kansas,Hutchinson,3 replications,XH1322,37,3473,77.4,97,124,0,30,8,7
Kansas,Hutchinson,3 replications,XH1514,38,1883,73.1,96,128,7,20,8,6
Kansas,Hutchinson,3 replications,WI88-083,39,3433,76.8,91,128,3,20,3,3
Kansas,Hutchinson,3 replications,WI88-024,40,2702,77.3,100,128,0,20,8,5
Kansas,Hutchinson,3 replications,T19-3,41,2566,75.8,102,127,43,60,8,9
Kansas,Hutchinson,3 replications,T67,42,3726,79.3,102,126,0,60,8,6
Kansas,Hutchinson,3 replications,T21-3,43,1570,71.3,98,129,93,40,7,8
Kansas,Hutchinson,3 replications,TH901,44,2965,76.2,99,122,3,40,8,6
Kansas,Hutchinson,3 replications,TH902,45,2632,74.4,97,123,0,100,8,9
