"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)","lodging (0-9)","stem sev. (%)","rust resp. (0-9)","root rot (%)"
"COLORADO","JULESBURG","3","CI1442",1,1493,67.3,122,5,80,NA,0
"COLORADO","JULESBURG","3","CI13996",2,2978,75.7,107,4,0,NA,0
"COLORADO","JULESBURG","3","PI495594",3,2731,69.5,81,0,0,NA,5
"COLORADO","JULESBURG","3","OK87W663",4,1940,60.2,81,0,90,NA,20
"COLORADO","JULESBURG","3","OK87542",5,3155,71.5,91,0,30,NA,5
"COLORADO","JULESBURG","3","OK87630",6,2744,64.9,84,0,50,NA,10
"COLORADO","JULESBURG","3","OK88767",7,2678,68.2,84,0,80,NA,30
"COLORADO","JULESBURG","3","OK88W833",8,1980,62.8,86,0,90,NA,40
"COLORADO","JULESBURG","3","TX88V4636",9,2836,71.3,86,0,0,NA,20
"COLORADO","JULESBURG","3","TX84V1418HF",10,3319,73.7,91,0,0,NA,20
"COLORADO","JULESBURG","3","TX88V5440",11,3450,72.2,81,4,10,NA,10
"COLORADO","JULESBURG","3","TX88V4635",12,3348,70.5,91,4,0,NA,0
"COLORADO","JULESBURG","3","TX87V1613",13,2993,74.4,86,0,0,NA,10
"COLORADO","JULESBURG","3","TX88V4524",14,3215,75.3,76,0,0,NA,5
"COLORADO","JULESBURG","3","TX89V4138",15,2675,72.4,86,4,0,NA,20
"COLORADO","JULESBURG","3","TX88V5433",16,3352,73.7,86,1,10,NA,10
"COLORADO","JULESBURG","3","TX86D1310",17,2981,74.8,86,3,0,NA,15
"COLORADO","JULESBURG","3","TX86D1332",18,3329,75.6,86,3,0,NA,0
"COLORADO","JULESBURG","3","TX88D3424",19,2383,63.8,69,0,0,NA,0
"COLORADO","JULESBURG","3","C0850034",20,1256,52.2,86,3,90,NA,90
"COLORADO","JULESBURG","3","C0850061",21,2566,66.1,91,0,0,NA,20
"COLORADO","JULESBURG","3","C0860086",22,2849,64.8,91,2,0,NA,10
"COLORADO","JULESBURG","3","C0860094",23,3553,71.4,91,2,0,NA,0
"COLORADO","JULESBURG","3","KSSB-369-7",24,3534,74.5,79,0,0,NA,0
"COLORADO","JULESBURG","3","KSSB-192-3",25,2547,68.9,81,0,0,NA,10
"COLORADO","JULESBURG","3","HBC197F",26,3771,69.7,86,0,0,NA,0
"COLORADO","JULESBURG","3","KS87H6",27,4051,75.6,86,0,0,NA,0
"COLORADO","JULESBURG","3","KS88H12-1",28,3318,73.1,89,1,0,NA,10
"COLORADO","JULESBURG","3","KS88H12-2",29,3238,73.2,86,2,0,NA,0
"COLORADO","JULESBURG","3","NE87615",30,3380,70.9,86,5,0,NA,0
"COLORADO","JULESBURG","3","NE87409",31,3261,75.4,91,1,0,NA,0
"COLORADO","JULESBURG","3","NE87451",32,3220,73,76,6,0,NA,0
"COLORADO","JULESBURG","3","NE88595",33,3129,71.3,91,8,0,NA,0
"COLORADO","JULESBURG","3","NE88427",34,3495,75,89,0,0,NA,5
"COLORADO","JULESBURG","3","XH900",35,3317,69.1,86,0,5,NA,10
"COLORADO","JULESBURG","3","XH1231",36,3612,68.9,86,0,30,NA,10
"COLORADO","JULESBURG","3","XH1322",37,3851,72.7,86,0,0,NA,10
"COLORADO","JULESBURG","3","XH1514",38,3840,71.4,91,0,0,NA,15
"COLORADO","JULESBURG","3","WI88-083",39,3606,74,81,0,0,NA,5
"COLORADO","JULESBURG","3","WI88-024",40,3460,76,89,0,0,NA,0
"COLORADO","JULESBURG","3","T19-3",41,3053,74,91,0,0,NA,5
"COLORADO","JULESBURG","3","T67",42,3389,74.5,97,0,0,NA,10
"COLORADO","JULESBURG","3","T21-3",43,3871,72.5,86,3,10,NA,20
"COLORADO","JULESBURG","3","TH901",44,3900,72.5,91,1,0,NA,10
"COLORADO","JULESBURG","3","TH902",45,3084,69.3,91,2,0,NA,10
