"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/h)","winter survival (%)"
"IOWA","CRAWFORDSVILLE","2","CI1442",1,"1580","65.9",85
"IOWA","CRAWFORDSVILLE","2","CI13996",2,"2118","65.5",50
"IOWA","CRAWFORDSVILLE","2","PI495594",3,"2455","65.1",35
"IOWA","CRAWFORDSVILLE","2","OK87W663",4,".",".",20
"IOWA","CRAWFORDSVILLE","2","OK87542",5,".",".",13
"IOWA","CRAWFORDSVILLE","2","OK87630",6,"4304","71.5",23
"IOWA","CRAWFORDSVILLE","2","OK88767",7,".",".",8
"IOWA","CRAWFORDSVILLE","2","OK88W833",8,".",".",5
"IOWA","CRAWFORDSVILLE","2","TX88V4636",9,".",".",8
"IOWA","CRAWFORDSVILLE","2","TX84V1418HF",10,"2354","61.3",15
"IOWA","CRAWFORDSVILLE","2","TX88V5440",11,"3161","68.8",100
"IOWA","CRAWFORDSVILLE","2","TX88V4635",12,".",".",3
"IOWA","CRAWFORDSVILLE","2","TX87V1613",13,".",".",0
"IOWA","CRAWFORDSVILLE","2","TX88V4524",14,".",".",3
"IOWA","CRAWFORDSVILLE","2","TX89V4138",15,".",".",0
"IOWA","CRAWFORDSVILLE","2","TX88V5433",16,"3178","70.6",100
"IOWA","CRAWFORDSVILLE","2","TX86D1310",17,".",".",3
"IOWA","CRAWFORDSVILLE","2","TX86D1332",18,".",".",3
"IOWA","CRAWFORDSVILLE","2","TX88D3424",19,".",".",0
"IOWA","CRAWFORDSVILLE","2","C0850034",20,".",".",0
"IOWA","CRAWFORDSVILLE","2","C0850061",21,".",".",0
"IOWA","CRAWFORDSVILLE","2","C0860086",22,"2085","53.1",55
"IOWA","CRAWFORDSVILLE","2","C0860094",23,"1765","55.7",70
"IOWA","CRAWFORDSVILLE","2","KSSB-369-7",24,".",".",0
"IOWA","CRAWFORDSVILLE","2","KSSB-192-3",25,".",".",0
"IOWA","CRAWFORDSVILLE","2","HBC197F",26,".",".",0
"IOWA","CRAWFORDSVILLE","2","KS87H6",27,"2707","63.4",35
"IOWA","CRAWFORDSVILLE","2","KS88H12-1",28,"3245","64.6",75
"IOWA","CRAWFORDSVILLE","2","KS88H12-2",29,".",".",20
"IOWA","CRAWFORDSVILLE","2","NE87615",30,"2421","61.6",65
"IOWA","CRAWFORDSVILLE","2","NE87409",31,"2656","66.4",45
"IOWA","CRAWFORDSVILLE","2","NE87451",32,"3363","69",90
"IOWA","CRAWFORDSVILLE","2","NE88595",33,"2818","63.9",100
"IOWA","CRAWFORDSVILLE","2","NE88427",34,"2357","65",100
"IOWA","CRAWFORDSVILLE","2","XH900",35,"2952","62.7",40
"IOWA","CRAWFORDSVILLE","2","XH1231",36,"3080","65",75
"IOWA","CRAWFORDSVILLE","2","XH1322",37,"2646","64.9",40
"IOWA","CRAWFORDSVILLE","2","XH1514",38,"2508","63.5",90
"IOWA","CRAWFORDSVILLE","2","WI88-083",39,"2219","55.5",35
"IOWA","CRAWFORDSVILLE","2","WI88-024",40,"2811","70.6",8
"IOWA","CRAWFORDSVILLE","2","T19-3",41,"3578","70.9",100
"IOWA","CRAWFORDSVILLE","2","T67",42,".",".",18
"IOWA","CRAWFORDSVILLE","2","T21-3",43,"3558","66",55
"IOWA","CRAWFORDSVILLE","2","TH901",44,"3917","68.5",70
"IOWA","CRAWFORDSVILLE","2","TH902",45,"2875","65.7",75
